repository_id,ur_id,pr_id,create_date,pull_request_date,latest_release_date,review,title,description,url,author,target
10,1f3451ff-d705-4e45-b62d-c9dfc98889aa,MDExOlB1bGxSZXF1ZXN0OTYyNTY5NQ==,2012-11-22 08:48:13,2013-11-03 05:14:41,,Since i bought my android phone ive been looking for a psp emulator. 5 stars even though i havent tried the app yet. I just cant wait to play my favorite games of my psp. A big THANK YOU for those who develop the app. If i had the knowledge i would certainly help.,Speed up access to the current HLE thread,"This was showing up in a profile on ARM. It doesn't help a ton but it does help consistently. __KernelNextThread() is still pretty slow. I'd improved it when profiling on iOS, but it seems to still be hovering around 2%. Used to be higher before the specialized thread queue, of course... -[Unknown]",https://github.com/hrydgard/ppsspp/pull/4424,unknownbrackets,0
10,3aba3468-3ef3-46df-a0ca-fac18928f15d,MDExOlB1bGxSZXF1ZXN0ODI2NzQ5OA==,2012-11-23 03:46:57,2013-09-12 04:59:17,,If people would read the compatibility list and learn that their device is too slow Please add more games,Allow selection of GPU in headless,"Still have to modify test.py but it works. For example, gpu/reflection/reflection is pretty close, execept that there's not filtering on the reflection. -[Unknown]",https://github.com/hrydgard/ppsspp/pull/3739,unknownbrackets,0
10,21ee1aa6-ec2d-4390-a568-5fb7c60d9f66,MDExOlB1bGxSZXF1ZXN0MzIwMTY5OA==,2012-11-27 08:59:49,2012-12-02 03:20:01,,"Its perfect. Even though it will take a while to make PSP games run smoothly. Please don't rush the developers as they're working hard for the app to become a better app. Instead of rushing, why not give them 5 stars and compliment them?",Fix sceUmdWaitDriveStatCB(),"It's still far from perfect but this fixes #108 (comment). This also makes Jewel Summoner show loading screens afaict, but it still hangs. -[Unknown]",https://github.com/hrydgard/ppsspp/pull/111,unknownbrackets,1
10,d7d45494-3906-4b40-b878-efc2dd53c1db,MDExOlB1bGxSZXF1ZXN0NzY3MjE0OQ==,2012-12-03 06:56:39,2013-08-16 21:56:21,,"I know this is new and the games it plays are poor, but for someone to make a PSP emulator that DOES work at such an early stage is really promising. Good work.",Software Renderer,"'nuff said. Adds a GUI setting called ""Software Rendering"" to the graphics menu. It works, but I'm not sure if there is anything specifically that I should've done (for example the option should be hidden when emulation is running, but then again I wasn't sure if any of the other code was doing this so I just didn't bother). Cf. 6cd1091 if you want to check. Should compile and run on OSX, Windows and Linux. Only the latter two are tested, however. Care was taken to make sure that each commit in this branch compiles so that bisecting can be done efficiently.",https://github.com/hrydgard/ppsspp/pull/3197,neobrain,0
10,e0f84f8b-8cae-41a7-8177-edc30ba5c1ca,MDExOlB1bGxSZXF1ZXN0OTA1MTg1NQ==,2013-01-05 18:27:28,2013-10-13 06:23:27,,But I REALLY. want support for Star Wars Battlefront 2 though. Please. Think about the children.,The shutdown adjustments keep coming,"Waiting just meant there was another race condition, because of notify_one(), and we can't reasonably use notify_all(). Also, found some dsound issues as well. -[Unknown]",https://github.com/hrydgard/ppsspp/pull/4153,unknownbrackets,0
10,4faeae5b-e922-4f6d-bf5f-f43de21d70a6,MDExOlB1bGxSZXF1ZXN0MzczOTY4Mw==,2013-01-09 01:17:14,2013-01-18 15:05:01,,"For those who are whining about low compatibility, realize that this emulator is young, and if you're game isn't listed on the compatible games page, odds are it won't work. And you won't be provided with downloads for the games, you have to buy them then rip them yourselves. As for the emulator, i'm glad to see knights in the nightmare is playable, though there  are many other games i'm looking forward to playing. Keep up the good work!",Implement couples of scePsmf and scePsmfPlayer functions,"Tested with few games and look okay , at least not beaking any games but didn't fix anything yet",https://github.com/hrydgard/ppsspp/pull/437,dbz400,0
10,a3658f63-4d2f-4a15-a900-3ccecab2c11b,MDExOlB1bGxSZXF1ZXN0NTQxMjM4NQ==,2013-01-16 16:40:22,2013-04-28 09:32:24,,"I gave this a good rating cuz its ok. I only can play one game, and its really slow, but its a good start ^_^",disable background input for Windows,,https://github.com/hrydgard/ppsspp/pull/1566,CrazyMax,0
10,095dc351-064e-42fb-b3d6-5ddafe3fa273,MDExOlB1bGxSZXF1ZXN0ODY4ODM5OQ==,2013-01-20 19:10:15,2013-09-29 08:23:42,,Greatest app,Win32: Add FXAA to menu item.,,https://github.com/hrydgard/ppsspp/pull/3975,shenweip,0
10,f32f9f97-0372-481c-9d15-627f55046872,MDExOlB1bGxSZXF1ZXN0NDYxMDM4Nw==,2013-01-31 04:19:34,2013-03-14 08:17:53,,Pls make compatible god of war chains of olympus and ghost of sparta with this emulator,Don't lock armjit memory before aligning code,"Fixes a crash I got testing things, but it still doesn't run... getting closer? -[Unknown]",https://github.com/hrydgard/ppsspp/pull/984,unknownbrackets,0
10,345f7a49-082d-4c23-ba22-086bab7963b0,MDExOlB1bGxSZXF1ZXN0OTYyNjM0OA==,2013-03-07 13:57:28,2013-11-03 09:55:52,,Very good.keep up the good work.,Fix step over handling of fpu branches and jalr,,https://github.com/hrydgard/ppsspp/pull/4428,Kingcom,0
