id,repository_id,content,created_at,review_version,label,diff_times
13469ca0-684c-43e7-b035-f0abcb0ca87c,2,Cannot login even if i have created an account with Wikipedia. I think the app must be awesome. Please fix this issue asap.,2016-07-28 11:19:29,1.22,1,"[234, 15, 13]"
b1635779-23a4-4ad5-adea-4e65f042fd71,2,Couldn't create an account due to your IP address is in a range which has been blocked on all wikis. Pleased to say I was able to create my account today. Will check out the app and adjust star rating accordingly.,2016-07-28 17:07:32,1.22,1,"[13, 15]"
729c842b-99e1-4201-88df-2e280219e8fb,2,The handy app for photographers who wants to contribute to wikimedia ptojects. I use this when I visit nearby for uploading photo to commons instantly.,2016-08-02 21:44:31,1.23,1,[30]
c9ca3026-59e9-4770-bb6a-12be73503d50,2,"The app has issues with filenames. It does not ask for a file name. It does not use the file name stored on device. Instead use the title of input form for file name. I discovered the bug when I uploaded several images of Milan.  The files uploaded without any errors. When I visited commons with a browser I recognised (I) the app has replaced Milan.png several times. The app should show the file name and alert, suggest rename when overwriting an existing file.",2016-08-13 16:58:10,1.24,1,"[2, 1, 21, 123]"
cc56c4f7-725e-4165-aa47-748a19af08da,2,"I am a regular user of commons but I faced several problem.  it doesn't allow to upload multiple photos, can't read the file name, always ask for it. and after uploading when I browse the photos from desktop I saw an message that it doesn't belong any description but I already add the description.",2016-08-14 01:03:23,1.24,1,[285]
16a16537-cfd7-409c-8eaf-0dd9f997b541,2,"The software only allows cc-0, cc-by-3.0 and cc-by-sa-3.0 yet there's no option to choose cc 4.0. It needs to be updated to include this option",2016-09-02 05:34:59,1.26,1,"[183, 183]"
0f1fd9d2-f392-4ba6-8d9a-28794c35f168,2,Should be more sharper,2016-09-22 04:44:56,1.31,1,[239]
48566e92-9454-4396-8554-19ef2ca7ac68,2,I frequently work on Wikimedia Foundation projects including wikicommons for uploading imagea for the articles. Coomons wiki network failure during login,2016-10-03 19:22:58,1.31,0,
bdb96ce4-f0eb-42e9-a49a-e54ecea48a03,2,Specially the search feature should be available and easy to use.,2016-10-06 02:25:22,1.31,1,[15]
4d8f10c8-116d-4848-ba3e-33ccac6544c9,2,It works but the interface needs some polish,2016-10-08 17:20:06,1.33,1,"[279, 283]"
51f3def6-de5c-4a16-97b1-37f58684dd6b,2,"Images upload fine, but I can't  (find a way to) affect the copyright permissions or the location of an image - it seems hardwired to locate it where I am when I upload it & to the generic copyright. So I end up uploading with the app, and then editing the image on a browser to sort out the details. Shame.",2016-10-26 04:06:15,1.37,1,[129]
9b2d2749-09b4-4640-ba2e-5850ddbdd4e8,2,I need to use another name instead of  my username.,2016-11-05 19:07:37,1.38,1,[268]
8bbd3c61-8f8a-4826-a22d-f71c984772d1,2,Need more improve..,2016-11-30 01:35:50,1.39,0,
1d73f0e6-4655-4d61-9e89-5abe9a44fa72,2,It's cool how it lets you contribute to Wikipedia via creative Commons licensed photos that you take this has been the easiest way for me to add to Wikipedia,2016-12-29 00:28:17,1.41,1,[105]
8d7bb923-08a2-43b4-b75c-c6318e6f56d3,2,The app is now more stable and faster. Upload works well and choosing categories is easy. Searching for nearby missing images is a lot of fun.,2017-01-04 05:28:05,1.42,1,"[346, 128, 99, 283]"
af17251d-3d1d-442b-82db-b6f7d35aaf90,2,"Doesn't do anything. Doesn't allow any editing, cropping of images, moves, navigation, etc. It's just a basic image viewer.",2017-03-21 19:36:19,2.0.2,1,[356]
dff23e7b-2f57-46ee-9362-a9208435e64a,2,great app,2017-03-24 05:19:28,1.42,0,
d3f47a94-f0ae-4dff-8ad5-fd365bae2bde,2,Good,2017-03-24 20:03:41,2.0.2,0,
a0e8cb12-5d1c-465b-936d-cf90cd27ed6f,2,The app is easy to upload photography on commons.,2017-04-15 02:26:23,2.1,0,
04b1e157-e42e-4ff6-8d3a-f299db1815bc,2,Love you 😘😘,2017-05-11 10:09:54,2.2.2,0,
b6f89f4e-da9f-4ab6-a148-f0e89372ef6f,2,"Undoubtedly, Wikimedia Commons Android is a great app. It would have been better if there was a resume option when the data connection fails or stops as a result of poor network. Once the internet connection is lost, It has to be uploaded again. It is time consuming and also data. Please fix it. Thank you.",2017-06-12 17:46:42,2.4.2,1,"[282, 331]"
89e911fd-06c3-455d-aba2-b4c13ba6bf67,2,Best app for freely use,2017-06-26 04:32:08,2.4.2,0,
4406bfa6-f86b-4a3b-9496-85494a64156f,2,No search feature.  All it does is manage what you uploaded and allow you to upload more.,2017-07-05 19:51:33,2.4.2,1,"[326, 334]"
cb076872-ad68-4867-9c35-07d1cb20d05e,2,Good,2017-07-25 18:58:08,2.4.2,0,
fee7f0d4-8c2b-495a-888d-9d23636f0c3a,2,"Worst app and service ever. I provided all necessary source and permissions from the copyright holders of the files I uploaded and yet some prick deleted them still, without saying why. If I could give this app and their service 0 ⭐ I would. No wonder why educators and scholars alike don't trust Wikipedia and its foundation.",2017-11-12 15:57:47,2.4.2,0,
cb4b49a9-c3ff-4ebc-a9a1-b0f6cccd014d,2,Many options lacking compared to the website.,2017-11-16 13:32:53,2.4.2,1,"[181, 252, 167]"
4d950ff7-f55e-4ad3-8b53-a331736bbde5,2,I dont know but it fails to upload all my pictures.,2017-12-03 13:03:16,2.4.2,1,"[115, 310, 331]"
0c19e5bd-d45f-4627-b9b7-5b113bbcab1e,2,Can't browse existing content on Wikimedia Commons.,2017-12-08 06:26:11,2.6.3,1,[218]
0b22b178-f75a-41c0-9ee3-80d3f07757de,2,Good,2017-12-31 16:54:33,2.6.5,0,
7060b7da-b9fc-4167-b7d0-a38aca109e1c,2,When uploading apps it crash everytime so annoying,2018-01-21 20:17:16,2.6.6,1,"[66, 362, 147]"
d7d3a7d1-2d52-4eba-8ee1-ff6f2f2b6faa,2,Upload only. No way to browse Commons.,2018-02-26 11:03:06,2.6.7,1,[138]
9c72ae50-6af3-49c8-804d-81f97931c607,2,A great initiative from Wikipedia. Adding more tags would be simplified in different search. Now only one search can add more tags so its within a limited area. But else it's clean and good solid work. WikiMaster and WikiFlip apps will use all the images in quizzes. Keep it up!,2018-03-07 05:08:11,2.6.7,0,
ccc81547-27b5-47dc-9f36-743433a55781,2,"I downloaded this app thinking it would give me a nice way to browse wiki Commons, but unfortunately it's only for uploading your own images. That's a nice feature, but I feel that it would be a Much better app if it had a clean, simple built in way of searching, browsing, and viewing, (and downloading/sharing) all of the photos uploaded to wiki Commons. That would make this app easily worth 5 stars!",2018-03-11 10:26:01,2.6.7,1,[125]
a72c382a-dac0-4fc1-bf82-8a06f3d53439,2,"Upload fails. Constantly. App does one job and - well, it doesn't do it.",2018-04-28 13:56:07,2.6.7,1,"[249, 164, 265]"
d0fbfd96-ba74-44e8-aaca-d23f18c4ddd4,2,"Continuous uploading failed, no option for editing, tags are not coming up, no confirmation of uploads, no multiple uploads please fix these issues.",2018-09-10 05:20:22,2.8.3,0,
15bdaeb1-0d33-415f-b7d2-309cbcd00a70,2,Not at all a single picture getting uploaded.,2018-09-11 05:00:16,2.8.3,0,
968fad2a-8641-45df-b489-28fa9850ac35,2,The app crashes when uploading images. Fix it,2018-09-17 18:49:24,2.8.3,0,
9b8cb09d-d9c8-4a67-b49f-80549a8528ba,2,Crashes whenever I upload a photo,2018-09-22 13:46:08,2.8.3,0,
ee151f72-7bd2-44ea-9005-1dcca9dbb351,2,"The app crashes each time you try to upload a picture. I have tried both from Gallery and from the app and each time the app crashes. This is very frustrating. Reading earlier reviews one gets to know that this is a recurring issue a d still hasn't been rectified. Very disappointing, indeed.",2018-09-26 00:42:10,2.8.3,0,
b52a693f-bce4-4a44-adda-a94957d9557a,2,Social app,2018-10-30 22:13:25,2.8.5,0,
1455edda-7830-4cca-bc09-0d5a6845a3cd,2,It has not been working on my phone.,2018-11-05 07:48:15,2.8.5,0,
cf3b80cc-f44e-440a-b615-fecec6bbf744,2,Getting error again and again while uploading photos from Google Photos.,2018-12-07 01:24:08,2.8.5,0,
1833b45a-e112-4d11-86f3-99cb976445bd,2,Super,2018-12-14 06:03:56,2.8.5,0,
3641dfa3-f67e-453c-aea6-8fcfd8d780ac,2,"as a contributor, it gives me ready access to my recent files.",2019-02-10 12:15:17,2.8.5,0,
f5bc59ba-effa-47c5-93e6-fe961713db4b,2,good for photography,2019-04-08 14:22:01,2.10.2,0,
9caeefb5-3c2c-4896-af76-7369f2aeab08,2,good luck a app,2019-04-12 15:36:11,2.10.2,0,
2f6d895c-6d12-4c46-872b-68d532099a1c,2,best app no copyright images,2019-04-28 14:42:55,2.10.2,0,
1c50eb96-d872-4cd3-90b5-c088043f30d7,2,"it crashes , after pressing the image download button",2019-05-11 14:40:39,2.10.2,0,
